filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality 
Alaska_11082022_SenateDistrictN.csv,1,2,S,3,4,0.85008223,0.826452004,74.08465334,64.06993854,60.63360166,,,0.611904107
Alaska_11082022_SenateDistrictO.csv,1,2,S,2,3,1,1,73.15956323,68.14371257,,,,0.872533385
Alaska_11082022_SenateDistrictP.csv,1,2,S,3,4,0.904546537,0.805522495,66.35324923,63.94905975,46.79838134,,,0.926270257
Alaska_11082022_SenateDistrictQ.csv,1,2,S,3,4,0.898730281,0.859022701,75.5367449,48.48018469,32.41246633,,,0.920242565
Alaska_11082022_SenateDistrictR.csv,1,2,S,3,4,0.920295304,0.865541049,75.78098298,54.04333857,39.74297628,,,0.737018585
Alaska_11082022_SenateDistrictS.csv,1,2,S,2,3,1,1,79.97395457,62.58139198,,,,0.894850167
Alaska_11082022_USRepresentative.csv,1,3,R,4,5,0.825703481,0.757514115,64.61950122,59.18676972,57.31220374,35.85074424,,0.808016113
Alaska_11082022_USSenator.csv,1,3,S,4,5,0.831821701,0.82133641,65.75829564,60.02952427,44.63515893,41.55256687,,0.87220012
Albany_11082022_BoardofEducation.csv,,,,5,5,0.62540366,0.64262648,87.80562817,84.99154237,79.97847147,56.6815316,1.968322313,0.578185495
Albany_11082022_CityCouncil.csv,,,,6,5,0.343728344,0.304781705,88.46846847,82.86902287,81.82952183,80.31878032,60.45738046,0.562647504
Albany_11082022_FAKECityCouncil.csv,,,,5,5,0.599327543,0.43905856,83.76295881,82.71224433,81.18520594,61.1095545,1.667133651,0.367478032
Berkeley_03072017_CityCouncilDistrict4.csv,0,1,R,2,3,1,1,78.30261137,65.62980031,,,,0.882215827
Berkeley_11022010_CityCouncilDistrict1.csv,0,1,R,4,3,0.787372494,0.743580725,84.15406261,59.90151249,45.39219135,20.1899402,,0.370075223
Berkeley_11022010_CityCouncilDistrict4.csv,0,1,R,4,3,0.688117771,0.724500526,77.05573081,64.3533123,47.71819138,34.30073607,,0.555055042
Berkeley_11022010_CityCouncilDistrict7.csv,0,1,R,3,3,0.79587431,0.684096906,86.44758935,76.54113696,74.52626529,,,0.727185116
Berkeley_11022010_CityCouncilDistrict8.csv,0,1,R,3,3,0.803050109,0.748583878,84.68409586,69.91285403,69.49891068,,,0.749130795
Berkeley_11032020_MayorBerkeleyRCV.csv,0,1,E,4,5,0.783319622,0.766162759,87.79308926,60.78259975,52.50411353,36.77498972,,0.497088394
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,0,1,R,4,5,0.693770572,0.659270998,81.18980861,71.26660978,68.47494819,54.65073754,,0.415034837
Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,0,1,R,3,5,0.923176745,0.888917726,89.32001038,64.33947573,46.74279782,,,0.639112685
Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,0,1,R,3,5,0.966956175,0.833083758,89.97703903,50.25456724,32.91404612,,,0.684528444
