precinct,rank1,rank2,rank3
12-01,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-01,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-02,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-03,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-03,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-03,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
12-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-01,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-02,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-03,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-06,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-06,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-07,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-09,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-09,Carol Becker,R. Michael Martens,James Elliot Swartwood
13-09,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-01,Carol Becker,R. Michael Martens,DeWayne Townsend
01-02,Carol Becker,R. Michael Martens,DeWayne Townsend
01-02,Carol Becker,R. Michael Martens,DeWayne Townsend
01-03,Carol Becker,R. Michael Martens,DeWayne Townsend
01-03,Carol Becker,R. Michael Martens,DeWayne Townsend
01-04,Carol Becker,R. Michael Martens,DeWayne Townsend
01-04,Carol Becker,R. Michael Martens,DeWayne Townsend
01-05,Carol Becker,R. Michael Martens,DeWayne Townsend
01-05,Carol Becker,R. Michael Martens,DeWayne Townsend
01-05,Carol Becker,R. Michael Martens,DeWayne Townsend
01-06,Carol Becker,R. Michael Martens,DeWayne Townsend
01-06,Carol Becker,R. Michael Martens,DeWayne Townsend
01-06,Carol Becker,R. Michael Martens,DeWayne Townsend
01-06,Carol Becker,R. Michael Martens,DeWayne Townsend
01-09,Carol Becker,R. Michael Martens,DeWayne Townsend
01-09,Carol Becker,R. Michael Martens,DeWayne Townsend
01-10,Carol Becker,R. Michael Martens,DeWayne Townsend
01-10,Carol Becker,R. Michael Martens,DeWayne Townsend
02-01,Carol Becker,R. Michael Martens,DeWayne Townsend
02-01,Carol Becker,R. Michael Martens,DeWayne Townsend
02-01,Carol Becker,R. Michael Martens,DeWayne Townsend
02-01,Carol Becker,R. Michael Martens,DeWayne Townsend
02-03,Carol Becker,R. Michael Martens,DeWayne Townsend
02-05,Carol Becker,R. Michael Martens,DeWayne Townsend
02-10,Carol Becker,R. Michael Martens,DeWayne Townsend
03-03,Carol Becker,R. Michael Martens,DeWayne Townsend
03-04,Carol Becker,R. Michael Martens,DeWayne Townsend
03-04,Carol Becker,R. Michael Martens,DeWayne Townsend
03-04,Carol Becker,R. Michael Martens,DeWayne Townsend
03-06,Carol Becker,R. Michael Martens,DeWayne Townsend
03-07,Carol Becker,R. Michael Martens,DeWayne Townsend
03-07,Carol Becker,R. Michael Martens,DeWayne Townsend
03-09,Carol Becker,R. Michael Martens,DeWayne Townsend
04-01,Carol Becker,R. Michael Martens,DeWayne Townsend
04-01,Carol Becker,R. Michael Martens,DeWayne Townsend
04-01,Carol Becker,R. Michael Martens,DeWayne Townsend
04-04,Carol Becker,R. Michael Martens,DeWayne Townsend
04-05,Carol Becker,R. Michael Martens,DeWayne Townsend
04-06,Carol Becker,R. Michael Martens,DeWayne Townsend
04-08,Carol Becker,R. Michael Martens,DeWayne Townsend
04-08,Carol Becker,R. Michael Martens,DeWayne Townsend
04-09,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-01,Carol Becker,R. Michael Martens,DeWayne Townsend
05-03,Carol Becker,R. Michael Martens,DeWayne Townsend
05-03,Carol Becker,R. Michael Martens,DeWayne Townsend
05-04,Carol Becker,R. Michael Martens,DeWayne Townsend
05-05,Carol Becker,R. Michael Martens,DeWayne Townsend
05-06,Carol Becker,R. Michael Martens,DeWayne Townsend
05-07,Carol Becker,R. Michael Martens,DeWayne Townsend
05-07,Carol Becker,R. Michael Martens,DeWayne Townsend
05-08,Carol Becker,R. Michael Martens,DeWayne Townsend
06-02,Carol Becker,R. Michael Martens,DeWayne Townsend
06-02,Carol Becker,R. Michael Martens,DeWayne Townsend
06-03,Carol Becker,R. Michael Martens,DeWayne Townsend
06-04,Carol Becker,R. Michael Martens,DeWayne Townsend
06-08,Carol Becker,R. Michael Martens,DeWayne Townsend
06-08,Carol Becker,R. Michael Martens,DeWayne Townsend
07-01,Carol Becker,R. Michael Martens,DeWayne Townsend
07-01,Carol Becker,R. Michael Martens,DeWayne Townsend
07-01,Carol Becker,R. Michael Martens,DeWayne Townsend
07-02,Carol Becker,R. Michael Martens,DeWayne Townsend
07-02,Carol Becker,R. Michael Martens,DeWayne Townsend
07-03,Carol Becker,R. Michael Martens,DeWayne Townsend
07-03,Carol Becker,R. Michael Martens,DeWayne Townsend
07-03,Carol Becker,R. Michael Martens,DeWayne Townsend
07-04,Carol Becker,R. Michael Martens,DeWayne Townsend
07-04,Carol Becker,R. Michael Martens,DeWayne Townsend
07-05,Carol Becker,R. Michael Martens,DeWayne Townsend
07-06,Carol Becker,R. Michael Martens,DeWayne Townsend
07-06,Carol Becker,R. Michael Martens,DeWayne Townsend
07-06,Carol Becker,R. Michael Martens,DeWayne Townsend
07-07,Carol Becker,R. Michael Martens,DeWayne Townsend
07-07,Carol Becker,R. Michael Martens,DeWayne Townsend
07-07,Carol Becker,R. Michael Martens,DeWayne Townsend
07-08,Carol Becker,R. Michael Martens,DeWayne Townsend
07-08,Carol Becker,R. Michael Martens,DeWayne Townsend
07-08,Carol Becker,R. Michael Martens,DeWayne Townsend
07-08,Carol Becker,R. Michael Martens,DeWayne Townsend
07-09,Carol Becker,R. Michael Martens,DeWayne Townsend
07-10,Carol Becker,R. Michael Martens,DeWayne Townsend
07-11,Carol Becker,R. Michael Martens,DeWayne Townsend
07-11,Carol Becker,R. Michael Martens,DeWayne Townsend
08-01,Carol Becker,R. Michael Martens,DeWayne Townsend
08-01,Carol Becker,R. Michael Martens,DeWayne Townsend
08-02,Carol Becker,R. Michael Martens,DeWayne Townsend
08-04,Carol Becker,R. Michael Martens,DeWayne Townsend
08-06,Carol Becker,R. Michael Martens,DeWayne Townsend
08-06,Carol Becker,R. Michael Martens,DeWayne Townsend
08-07,Carol Becker,R. Michael Martens,DeWayne Townsend
08-07,Carol Becker,R. Michael Martens,DeWayne Townsend
08-08,Carol Becker,R. Michael Martens,DeWayne Townsend
08-08,Carol Becker,R. Michael Martens,DeWayne Townsend
08-09,Carol Becker,R. Michael Martens,DeWayne Townsend
08-09,Carol Becker,R. Michael Martens,DeWayne Townsend
08-09,Carol Becker,R. Michael Martens,DeWayne Townsend
08-09,Carol Becker,R. Michael Martens,DeWayne Townsend
09-02,Carol Becker,R. Michael Martens,DeWayne Townsend
09-02,Carol Becker,R. Michael Martens,DeWayne Townsend
09-02,Carol Becker,R. Michael Martens,DeWayne Townsend
09-02,Carol Becker,R. Michael Martens,DeWayne Townsend
09-05,Carol Becker,R. Michael Martens,DeWayne Townsend
09-05,Carol Becker,R. Michael Martens,DeWayne Townsend
09-06,Carol Becker,R. Michael Martens,DeWayne Townsend
09-07,Carol Becker,R. Michael Martens,DeWayne Townsend
09-07,Carol Becker,R. Michael Martens,DeWayne Townsend
09-08,Carol Becker,R. Michael Martens,DeWayne Townsend
09-08,Carol Becker,R. Michael Martens,DeWayne Townsend
10-01,Carol Becker,R. Michael Martens,DeWayne Townsend
10-02,Carol Becker,R. Michael Martens,DeWayne Townsend
10-03,Carol Becker,R. Michael Martens,DeWayne Townsend
10-03,Carol Becker,R. Michael Martens,DeWayne Townsend
10-03,Carol Becker,R. Michael Martens,DeWayne Townsend
10-03,Carol Becker,R. Michael Martens,DeWayne Townsend
10-03,Carol Becker,R. Michael Martens,DeWayne Townsend
10-04,Carol Becker,R. Michael Martens,DeWayne Townsend
10-06,Carol Becker,R. Michael Martens,DeWayne Townsend
10-07,Carol Becker,R. Michael Martens,DeWayne Townsend
10-07,Carol Becker,R. Michael Martens,DeWayne Townsend
10-08,Carol Becker,R. Michael Martens,DeWayne Townsend
10-08,Carol Becker,R. Michael Martens,DeWayne Townsend
10-08,Carol Becker,R. Michael Martens,DeWayne Townsend
10-10,Carol Becker,R. Michael Martens,DeWayne Townsend
10-10,Carol Becker,R. Michael Martens,DeWayne Townsend
10-10,Carol Becker,R. Michael Martens,DeWayne Townsend
10-10,Carol Becker,R. Michael Martens,DeWayne Townsend
11-01,Carol Becker,R. Michael Martens,DeWayne Townsend
11-01,Carol Becker,R. Michael Martens,DeWayne Townsend
11-02,Carol Becker,R. Michael Martens,DeWayne Townsend
11-02,Carol Becker,R. Michael Martens,DeWayne Townsend
11-02,Carol Becker,R. Michael Martens,DeWayne Townsend
11-02,Carol Becker,R. Michael Martens,DeWayne Townsend
11-02,Carol Becker,R. Michael Martens,DeWayne Townsend
11-03,Carol Becker,R. Michael Martens,DeWayne Townsend
11-04,Carol Becker,R. Michael Martens,DeWayne Townsend
11-04,Carol Becker,R. Michael Martens,DeWayne Townsend
11-04,Carol Becker,R. Michael Martens,DeWayne Townsend
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
