precinct,rank1,rank2,rank3
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-10,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
07-11,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-01,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-02,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-03,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-04,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-05,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-06,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-07,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-08,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-09,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
08-10,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-01,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
09-02,Carol Becker,skipped,skipped
