precinct,rank1,rank2,rank3
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-05,Mary Merrill Anderson,skipped,skipped
08-06,Mary Merrill Anderson,skipped,skipped
08-07,Mary Merrill Anderson,skipped,skipped
08-07,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-08,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-09,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
08-10,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-01,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-02,Mary Merrill Anderson,skipped,skipped
09-03,Mary Merrill Anderson,skipped,skipped
09-03,Mary Merrill Anderson,skipped,skipped
09-03,Mary Merrill Anderson,skipped,skipped
09-04,Mary Merrill Anderson,skipped,skipped
09-04,Mary Merrill Anderson,skipped,skipped
09-04,Mary Merrill Anderson,skipped,skipped
09-04,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-05,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-06,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-07,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-08,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-09,Mary Merrill Anderson,skipped,skipped
09-10,Mary Merrill Anderson,skipped,skipped
09-10,Mary Merrill Anderson,skipped,skipped
09-10,Mary Merrill Anderson,skipped,skipped
09-10,Mary Merrill Anderson,skipped,skipped
09-11,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-01,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-02,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-03,Mary Merrill Anderson,skipped,skipped
10-05,Mary Merrill Anderson,skipped,skipped
10-05,Mary Merrill Anderson,skipped,skipped
10-05,Mary Merrill Anderson,skipped,skipped
10-05,Mary Merrill Anderson,skipped,skipped
10-05,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-06,Mary Merrill Anderson,skipped,skipped
10-07,Mary Merrill Anderson,skipped,skipped
10-07,Mary Merrill Anderson,skipped,skipped
10-07,Mary Merrill Anderson,skipped,skipped
10-07,Mary Merrill Anderson,skipped,skipped
10-07,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-08,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-09,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-10,Mary Merrill Anderson,skipped,skipped
10-11,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-01,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-02,Mary Merrill Anderson,skipped,skipped
11-03,Mary Merrill Anderson,skipped,skipped
11-03,Mary Merrill Anderson,skipped,skipped
11-03,Mary Merrill Anderson,skipped,skipped
11-03,Mary Merrill Anderson,skipped,skipped
11-03,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-04,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-05,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-06,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-07,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-08,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
11-09,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-01,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-02,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-03,Mary Merrill Anderson,skipped,skipped
12-04,Mary Merrill Anderson,skipped,skipped
12-04,Mary Merrill Anderson,skipped,skipped
12-04,Mary Merrill Anderson,skipped,skipped
12-04,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-05,Mary Merrill Anderson,skipped,skipped
12-06,Mary Merrill Anderson,skipped,skipped
12-06,Mary Merrill Anderson,skipped,skipped
12-06,Mary Merrill Anderson,skipped,skipped
12-06,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-07,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-08,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-09,Mary Merrill Anderson,skipped,skipped
12-10,Mary Merrill Anderson,skipped,skipped
12-10,Mary Merrill Anderson,skipped,skipped
12-10,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
12-11,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-01,Mary Merrill Anderson,skipped,skipped
13-02,Mary Merrill Anderson,skipped,skipped
13-02,Mary Merrill Anderson,skipped,skipped
13-02,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-03,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-04,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-05,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-06,Mary Merrill Anderson,skipped,skipped
13-07,Mary Merrill Anderson,skipped,skipped
13-07,Mary Merrill Anderson,skipped,skipped
13-07,Mary Merrill Anderson,skipped,skipped
13-07,Mary Merrill Anderson,skipped,skipped
13-07,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-08,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-09,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
13-10,Mary Merrill Anderson,skipped,skipped
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-04,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-05,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-05,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-07,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-07,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-07,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-07,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-08,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-08,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-08,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-09,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-09,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-09,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-09,Mary Merrill Anderson,Annie Young,Nancy Bernard
01-10,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-01,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-05,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-06,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-08,Mary Merrill Anderson,Annie Young,Nancy Bernard
02-09,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-02,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
03-03,Mary Merrill Anderson,Annie Young,Nancy Bernard
