,filename,partisan,level,type,candidates,gamma,irv ,condorcet ,approval,plurality 
74,Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,0,1.0,R,,0.6160525436936436,,,,
75,Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,0,1.0,R,,0.9012459621596678,,,,
76,Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,0,1.0,R,,0.8908742820676452,,,,
77,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,0,1.0,R,,1.0,,,,
78,Berkeley_11042014_CityAuditor.csv,0,1.0,O,,1.0,,,,
79,Berkeley_11042014_CityCouncilDistrict1.csv,0,1.0,R,,0.9246889325474787,,,,
80,Berkeley_11042014_CityCouncilDistrict7.csv,0,1.0,R,,1.0,,,,
81,Berkeley_11042014_CityCouncilDistrict8.csv,0,1.0,R,,0.7001813419302841,,,,
82,Berkeley_11062012_CityCouncilDistrict2.csv,0,1.0,R,,0.9065516232816613,,,,
83,Berkeley_11062012_CityCouncilDistrict3.csv,0,1.0,R,,1.0,,,,
84,Berkeley_11062012_CityCouncilDistrict5.csv,0,1.0,R,,1.0,,,,
85,Berkeley_11062012_CityCouncilDistrict6.csv,0,1.0,R,,1.0,,,,
86,Berkeley_11062012_Mayor.csv,0,1.0,E,,0.7297316101650693,,,,
87,Berkeley_11062018_CityAuditor.csv,0,1.0,O,,1.0,,,,
88,Berkeley_11062018_CityCouncilDistrict1.csv,0,1.0,R,,0.7408151210868281,,,,
89,Berkeley_11062018_CityCouncilDistrict4.csv,0,1.0,R,,0.8677932405566601,,,,
90,Berkeley_11062018_CityCouncilDistrict7.csv,0,1.0,R,,0.8645865834633385,,,,
91,Berkeley_11062018_CityCouncilDistrict8.csv,0,1.0,R,,0.8117448721550997,,,,
92,Berkeley_11082016_CityCouncilDistrict2.csv,0,1.0,R,,0.8505294262496922,,,,
93,Berkeley_11082016_CityCouncilDistrict3.csv,0,1.0,R,,0.7025981873111783,,,,
94,Berkeley_11082016_CityCouncilDistrict5.csv,0,1.0,R,,1.0,,,,
95,Berkeley_11082016_CityCouncilDistrict6.csv,0,1.0,R,,0.8486492863041171,,,,
96,Berkeley_11082016_Mayor.csv,0,1.0,E,,0.6188757981268531,,,,
97,Burlington_03032009_Mayor.csv,1,1.0,E,,0.4175665145274407,,,,
98,Burlington_03072006_Mayor.csv,1,1.0,E,,0.6187145174371452,,,,
99,Burlington_03072023_CityCouncilCentralDistrict.csv,1,1.0,R,,1.0,,,,
100,Burlington_03072023_CityCouncilEastDistrict.csv,1,1.0,R,,1.0,,,,
101,Burlington_03072023_CityCouncilNorthDistrict.csv,1,1.0,R,,1.0,,,,
102,Burlington_03072023_CityCouncilSouthDistrict.csv,1,1.0,R,,0.8629124004550626,,,,
103,Corvallis_11082022_CityCouncilWard9.csv,0,1.0,R,,0.8609972677595629,,,,
104,Corvallis_11082022_Mayor.csv,0,1.0,E,,0.8175307814724851,,,,
105,Easthampton_11022021_Mayor.csv,1,1.0,E,,0.6396935599712712,,,,
106,Eastpointe_11052019_CityCouncil.csv,0,1.0,R,,0.4556765163297045,,,,
107,ElkRidge_11022021_Mayor.csv,0,1.0,E,,0.8946564885496183,,,,
108,Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,DP,3.0,E,,0.7911802853437094,,,,
109,Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,DP,3.0,E,,0.758073235269013,,,,
110,Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,DP,3.0,E,,0.7576718544177197,,,,
111,Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3.0,E,,0.6396012072298145,,,,
112,LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,0,1.0,R,,0.6147095695779357,,,,
113,LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,0,1.0,R,,0.7742890995260664,,,,
114,LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,0,1.0,E,,0.2681031437654539,,,,
115,Maine_06122018_DemocraticPrimaryforCD2.csv,DP,3.0,R,,0.7406970340649831,,,,
116,Maine_06122018_DemocraticPrimaryforGovernor.csv,DP,2.0,E,,0.3272690152666561,,,,
117,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,DP,2.0,R,,0.7978763746681835,,,,
118,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,DP,2.0,R,,0.8044224170796798,,,,
119,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,DP,2.0,R,,0.756045820958846,,,,
120,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,DP,2.0,R,,0.7838616714697406,,,,
121,Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,DP,2.0,R,,0.7682628451590353,,,,
122,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,RP,3.0,R,,0.8635330313648406,,,,
123,Maine_11062018_CongressionalDistrict2.csv,1,3.0,R,,0.7916312027992812,,,,
124,Maine_11082022_CongressionalDistrict2.csv,1,3.0,R,,0.9246135877091615,,,,
125,Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0,1.0,R,,0.690863890615289,,,,
126,Minneapolis_11022021_CityCouncilWard1.csv,0,1.0,R,,0.7881558355983856,,,,
127,Minneapolis_11022021_CityCouncilWard2.csv,0,1.0,R,,0.7372933251684017,,,,
128,Minneapolis_11022021_CityCouncilWard3.csv,0,1.0,R,,0.8075777516104454,,,,
129,Minneapolis_11022021_CityCouncilWard4.csv,0,1.0,R,,0.8450460061341513,,,,
130,Minneapolis_11022021_CityCouncilWard5.csv,0,1.0,R,,0.591273374888691,,,,
131,Minneapolis_11022021_CityCouncilWard6.csv,0,1.0,R,,1.0,,,,
132,Minneapolis_11022021_CityCouncilWard7.csv,0,1.0,R,,0.7672777417261518,,,,
133,Minneapolis_11022021_CityCouncilWard8.csv,0,1.0,R,,1.0,,,,
134,Minneapolis_11022021_CityCouncilWard9.csv,0,1.0,R,,0.6919220853623603,,,,
135,Minneapolis_11022021_CityCouncilWard10.csv,0,1.0,R,,0.7611953455571228,,,,
136,Minneapolis_11022021_CityCouncilWard11.csv,0,1.0,R,,0.7754396079561834,,,,
137,Minneapolis_11022021_CityCouncilWard12.csv,0,1.0,R,,0.8756995398582266,,,,
138,Minneapolis_11022021_CityCouncilWard13.csv,0,1.0,R,,0.8763728196393963,,,,
139,Minneapolis_11022021_Mayor.csv,0,1.0,E,,0.7361837397478945,,,,
140,Minneapolis_11022021_ParkBoardAtLarge.csv,0,1.0,B,,0.6944115704299003,,,,
141,Minneapolis_11022021_ParkBoardDistrict1.csv,0,1.0,B,,1.0,,,,
142,Minneapolis_11022021_ParkBoardDistrict2.csv,0,1.0,B,,0.8646376433785193,,,,
143,Minneapolis_11022021_ParkBoardDistrict3.csv,0,1.0,B,,0.9236168885191348,,,,
144,Minneapolis_11022021_ParkBoardDistrict4.csv,0,1.0,B,,1.0,,,,
145,Minneapolis_11022021_ParkBoardDistrict5.csv,0,1.0,B,,0.8268386841323787,,,,
146,Minneapolis_11022021_ParkBoardDistrict6.csv,0,1.0,B,,0.791540884630529,,,,
147,Minneapolis_11052013_Mayor.csv,0,1.0,E,,0.6326342072409488,,,,
148,Minneapolis_11052013_PRBoardDistrict2.csv,0,1.0,B,,1.0,,,,
149,Minneapolis_11052013_PRBoardDistrict6.csv,0,1.0,B,,1.0,,,,
150,Minneapolis_11052013_Ward5CityCouncil.csv,0,1.0,R,,0.684065175365921,,,,
151,Minneapolis_11052013_Ward9CityCouncil.csv,0,1.0,R,,0.4560222789510327,,,,
152,Minneapolis_11052013_Ward13CityCouncil.csv,0,1.0,R,,0.6407224653198026,,,,
153,Minneapolis_11062009_Mayor.csv,0,1.0,E,,0.793721582874671,,,,
154,Minneapolis_11062009_PRBoardDistrict1.csv,0,1.0,B,,0.9183318853171155,,,,
155,Minneapolis_11062009_PRBoardDistrict2.csv,0,1.0,B,,1.0,,,,
156,Minneapolis_11062009_PRBoardDistrict3.csv,0,1.0,B,,1.0,,,,
157,Minneapolis_11062009_PRBoardDistrict4.csv,0,1.0,B,,1.0,,,,
158,Minneapolis_11062009_PRBoardDistrict5.csv,0,1.0,B,,0.867071740752585,,,,
159,Minneapolis_11062009_PRBoardDistrict6.csv,0,1.0,B,,0.9267550319096711,,,,
160,Minneapolis_11062009_Ward1CityCouncil.csv,0,1.0,R,,0.7240348692403487,,,,
161,Minneapolis_11062009_Ward2CityCouncil.csv,0,1.0,R,,1.0,,,,
162,Minneapolis_11062009_Ward3CityCouncil.csv,0,1.0,R,,0.9188829787234043,,,,
163,Minneapolis_11062009_Ward4CityCouncil.csv,0,1.0,R,,0.7299006323396567,,,,
164,Minneapolis_11062009_Ward5CityCouncil.csv,0,1.0,R,,0.7166894042746703,,,,
165,Minneapolis_11062009_Ward6CityCouncil.csv,0,1.0,R,,0.6976274608783443,,,,
166,Minneapolis_11062009_Ward7CityCouncil.csv,0,1.0,R,,0.8920768042374752,,,,
167,Minneapolis_11062009_Ward8CityCouncil.csv,0,1.0,R,,0.8468190240889438,,,,
168,Minneapolis_11062009_Ward9CityCouncil.csv,0,1.0,R,,0.9073829927488464,,,,
169,Minneapolis_11062009_Ward10CityCouncil.csv,0,1.0,R,,0.8848396501457726,,,,
170,Minneapolis_11062009_Ward11CityCouncil.csv,0,1.0,R,,0.9605573925366084,,,,
171,Minneapolis_11062009_Ward12CityCouncil.csv,0,1.0,R,,0.8061033838488686,,,,
172,Minneapolis_11062009_Ward13CityCouncil.csv,0,1.0,R,,0.8644767249917464,,,,
173,Minneapolis_11072017_Mayor.csv,0,1.0,E,,0.554032494076109,,,,
174,Minneapolis_11072017_PRBoardDistrict1.csv,0,1.0,B,,0.8841093117408907,,,,
175,Minneapolis_11072017_PRBoardDistrict2.csv,0,1.0,B,,1.0,,,,
176,Minneapolis_11072017_PRBoardDistrict3.csv,0,1.0,B,,0.9040963855421686,,,,
177,Minneapolis_11072017_PRBoardDistrict4.csv,0,1.0,B,,1.0,,,,
178,Minneapolis_11072017_PRBoardDistrict5.csv,0,1.0,B,,0.8232269331522266,,,,
179,Minneapolis_11072017_PRBoardDistrict6.csv,0,1.0,B,,0.8948002037319999,,,,
180,Minneapolis_11072017_Ward1CityCouncil.csv,0,1.0,R,,0.8936026176238294,,,,
181,Minneapolis_11072017_Ward2CityCouncil.csv,0,1.0,R,,1.0,,,,
182,Minneapolis_11072017_Ward3CityCouncil.csv,0,1.0,R,,0.7542527339003645,,,,
183,Minneapolis_11072017_Ward4CityCouncil.csv,0,1.0,R,,0.6869857890800299,,,,
184,Minneapolis_11072017_Ward5CityCouncil.csv,0,1.0,R,,0.7301847089081132,,,,
185,Minneapolis_11072017_Ward6CityCouncil.csv,0,1.0,R,,0.9455110870740941,,,,
186,Minneapolis_11072017_Ward7CityCouncil.csv,0,1.0,R,,0.8051653339096607,,,,
187,Minneapolis_11072017_Ward8CityCouncil.csv,0,1.0,R,,0.7048585931834663,,,,
188,Minneapolis_11072017_Ward9CityCouncil.csv,0,1.0,R,,0.7859798194370685,,,,
189,Minneapolis_11072017_Ward10CityCouncil.csv,0,1.0,R,,0.8117572692793932,,,,
190,Minneapolis_11072017_Ward11CityCouncil.csv,0,1.0,R,,0.823688874986967,,,,
191,Minneapolis_11072017_Ward12CityCouncil.csv,0,1.0,R,,0.8623750350369055,,,,
192,Minneapolis_11072017_Ward13CityCouncil.csv,0,1.0,R,,1.0,,,,
193,Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,0,1.0,R,,0.854524627720504,,,,
194,Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,0,1.0,R,,0.6529209621993127,,,,
195,Minnetonka_11022021_Mayor.csv,0,1.0,E,,1.0,,,,
196,NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict.csv,,1.0,R,,1.0,,,,
197,NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,DP,1.0,E,,0.5707829668170458,,,,
198,NewYorkCity_06222021_DEMBoroughPresidentKings.csv,DP,1.0,E,,0.49619572171191034,,,,
199,NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,DP,1.0,E,,0.6078830108555878,,,,
200,NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,DP,1.0,E,,0.9050544215386812,,,,
201,NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,DP,1.0,E,,0.678727414831502,,,,
202,NewYorkCity_06222021_DEMComptrollerCitywide.csv,DP,1.0,O,,0.5808316129801131,,,,
203,NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,DP,1.0,R,,0.9561215945452914,,,,
204,NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,DP,1.0,R,,1.0,,,,
205,NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict.csv,DP,1.0,R,,0.948746224468435,,,,
206,NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict.csv,DP,1.0,R,,0.946133257573492,,,,
207,NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict.csv,DP,1.0,R,,0.9446978079488023,,,,
208,NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict.csv,DP,1.0,R,,0.9514563832650498,,,,
209,NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict.csv,DP,1.0,R,,0.9915363511312308,,,,
210,NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict.csv,DP,1.0,R,,0.9343468704207661,,,,
211,NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,DP,1.0,R,,0.958742037740363,,,,
212,NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,DP,1.0,R,,0.9436707169467281,,,,
213,NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict.csv,DP,1.0,R,,0.9743150415769369,,,,
214,NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict.csv,DP,1.0,R,,0.9705031673923636,,,,
215,NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,DP,1.0,R,,0.9627379474039958,,,,
216,NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,DP,1.0,R,,0.9688526651681154,,,,
217,NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,DP,1.0,R,,0.9805633714258767,,,,
218,NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict.csv,DP,1.0,R,,1.0,,,,
219,NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict.csv,DP,1.0,R,,0.942719713284185,,,,
220,NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict.csv,DP,1.0,R,,0.9832057799168179,,,,
221,NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,DP,1.0,R,,0.9780961290637692,,,,
222,NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict.csv,DP,1.0,R,,0.9890142506659453,,,,
223,NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict.csv,DP,1.0,R,,0.9812022430210626,,,,
224,NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict.csv,DP,1.0,R,,0.9637703211941555,,,,
225,NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,DP,1.0,R,,0.98538865281801,,,,
226,NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,DP,1.0,R,,0.9741662064223803,,,,
227,NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict.csv,DP,1.0,R,,0.9545579212738059,,,,
228,NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,DP,1.0,R,,0.9496924816747632,,,,
229,NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,DP,1.0,R,,0.9836115463080894,,,,
230,NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,DP,1.0,R,,0.9593068908901689,,,,
231,NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,DP,1.0,R,,1.0,,,,
232,NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,DP,1.0,R,,0.9845357919770967,,,,
233,NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,DP,1.0,R,,0.9823566761721201,,,,
234,NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,DP,1.0,R,,0.9579788674349613,,,,
235,NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,DP,1.0,R,,0.9948142994488844,,,,
236,NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,DP,1.0,R,,0.956151861671264,,,,
237,NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict.csv,DP,1.0,R,,0.9686582219722736,,,,
238,NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict.csv,DP,1.0,R,,0.9865116984904886,,,,
239,NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict.csv,DP,1.0,R,,0.9849227390803674,,,,
240,NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict.csv,DP,1.0,R,,0.9259527061407032,,,,
241,NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict.csv,DP,1.0,R,,0.9645519223730841,,,,
242,NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict.csv,DP,1.0,R,,1.0,,,,
243,NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,DP,1.0,R,,0.9855535619173443,,,,
244,NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict.csv,DP,1.0,R,,0.994858198762754,,,,
245,NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,DP,1.0,R,,0.9732495410168746,,,,
246,NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict.csv,DP,1.0,R,,0.9920373494728761,,,,
247,NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict.csv,DP,1.0,R,,0.9878864161823911,,,,
248,NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict.csv,DP,1.0,R,,0.8161923589720013,,,,
249,NewYorkCity_06222021_DEMMayorCitywide.csv,DP,1.0,E,,0.3960137782032208,,,,
250,NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,DP,1.0,O,,0.9014410601220202,,,,
251,NewYorkCity_06222021_REPBoroughPresidentQueens.csv,RP,1.0,E,,1.0,,,,
252,NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,RP,1.0,E,,0.7544460678119804,,,,
253,NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict.csv,RP,1.0,R,,1.0,,,,
254,NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict.csv,RP,1.0,R,,1.0,,,,
255,NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict.csv,RP,1.0,R,,1.0,,,,
256,NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict.csv,RP,1.0,R,,1.0,,,,
257,NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict.csv,RP,1.0,R,,1.0,,,,
258,NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict.csv,RP,1.0,R,,0.8484054612323039,,,,
259,NewYorkCity_06222021_REPMayorCitywide.csv,RP,1.0,E,,1.0,,,,
260,Oakland_11022010_CityAuditor.csv,0,1.0,O,,1.0,,,,
261,Oakland_11022010_CityCouncilDistrict2.csv,0,1.0,E,,1.0,,,,
262,Oakland_11022010_CityCouncilDistrict4.csv,0,1.0,R,,0.6138257337855378,,,,
263,Oakland_11022010_CityCouncilDistrict6.csv,0,1.0,R,,0.7925065887883752,,,,
264,Oakland_11022010_Mayor.csv,0,1.0,E,,0.5926783187613992,,,,
265,Oakland_11022010_SchoolDirectorDistrict2.csv,0,1.0,B,,1.0,,,,
266,Oakland_11022010_SchoolDirectorDistrict4.csv,0,1.0,B,,1.0,,,,
267,Oakland_11022010_SchoolDirectorDistrict6.csv,0,1.0,B,,1.0,,,,
268,Oakland_11032020_CityAttorneyOaklandRCV.csv,0,1.0,O,,1.0,,,,
269,Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,0,1.0,R,,0.7692743017441152,,,,
270,Oakland_11032020_MemberCityCouncilDist1OaklandRCV.csv,0,1.0,R,,0.8158273381294964,,,,
271,Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,0,1.0,R,,0.4911668991166899,,,,
272,Oakland_11032020_MemberCityCouncilDist5OaklandRCV.csv,0,1.0,R,,0.8534587378640777,,,,
273,Oakland_11032020_MemberCityCouncilDist7OaklandRCV.csv,0,1.0,R,,0.4160164462925758,,,,
274,Oakland_11032020_SchoolDirectorDist1OaklandRCV.csv,0,1.0,B,,0.9382514327521034,,,,
275,Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,0,1.0,B,,0.42988726173872616,,,,
276,Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,0,1.0,B,,0.598654935275081,,,,
277,Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,0,1.0,B,,0.4790090133513279,,,,
278,Oakland_11042014_CityAuditor.csv,0,1.0,O,,1.0,,,,
279,Oakland_11042014_CityCouncilDistrict2.csv,0,1.0,R,,0.7008239602406487,,,,
280,Oakland_11042014_CityCouncilDistrict4.csv,0,1.0,R,,0.9120747364739971,,,,
281,Oakland_11042014_CityCouncilDistrict6.csv,0,1.0,R,,0.7321111290583104,,,,
