candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer
Julie Anderson,49.912,76671.0,66.0,50.102,76737.0,6351.0,55.625,83088.0,
Jan Shabro,41.248,63361.0,35.0,41.391,63396.0,2889.0,44.375,66285.0,
Will Baker,8.46,12996.0,33.0,8.507,13029.0,-13029.0,0.0,0.0,
writein,0.38,583.0,-583.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,110.0,449.0,0.0,559.0,3789.0,0.0,4348.0,
colsum,100.0,153721.0,0.0,100.0,153721.0,0.0,100.0,153721.0,
