filename,diff,gamma,#candidates,level,partisan,type,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Alaska_11082022_SenateDistrictP.csv,[],0.886455606,3,STATE,YES,S,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott",,"Kawasaki, Scott","Kawasaki, Scott","Matherly, Jim","Matherly, Jim","Kawasaki, Scott"
Alaska_11082022_SenateDistrictQ.csv,[],0.908888034,3,STATE,YES,S,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr."
Alaska_11082022_SenateDistrictR.csv,[],0.910315127,3,STATE,YES,S,"Bishop, Click","Bishop, Click","Bishop, Click",,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click"
Alaska_11082022_SenateDistrictS.csv,[],1,2,STATE,YES,S,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F."
Alaska_11082022_USRepresentative.csv,[],0.859503789,4,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick","Peltola, Mary S."
Alaska_11082022_USSenator.csv,[],0.894756216,4,FEDERAL,YES,S,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa"
Albany_11082022_BoardofEducation.csv,[],0.687105223,4,LOCAL,NO,B,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM
Albany_11082022_CityCouncil.csv,[],0.420241566,5,LOCAL,NO,R,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI
Berkeley_03072017_CityCouncilDistrict4.csv,[],1,2,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON
Berkeley_11022010_CityCouncilDistrict1.csv,[],0.90872318,4,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO
