filename,diff,gamma,#candidates,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
SanFrancisco_11042008_BoardofSupervisorsDistrict7.csv,[],0.895594487,3,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND,,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND,SEAN R. ELSBERND
SanFrancisco_11062018_BoardofSupervisorsDistrict6.csv,['Approval'],0.794535131,3,MATT HANEY,MATT HANEY,MATT HANEY,,MATT HANEY,MATT HANEY,CHRISTINE JOHNSON,MATT HANEY,MATT HANEY
SanFrancisco_11072006_BoardofSupervisorsDistrict8.csv,[],0.921735566,3,Bevan Dufty,Bevan Dufty,Bevan Dufty,,Bevan Dufty,Bevan Dufty,Bevan Dufty,Bevan Dufty,Bevan Dufty
SanLeandro_11022010_CountyCouncilDistrict1.csv,[],0.99654118,3,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY
SanLeandro_11042014_CountyCouncilDistrict3.csv,['Approval'],0.886009998,3,LEE THOMAS,LEE THOMAS,LEE THOMAS,,LEE THOMAS,LEE THOMAS,VICTOR AGUILAR,LEE THOMAS,LEE THOMAS
SanLeandro_11042014_CountyCouncilDistrict5.csv,['Approval'],0.765290156,3,CORINA LOPEZ,CORINA LOPEZ,CORINA LOPEZ,,CORINA LOPEZ,CORINA LOPEZ,MIA OUSLEY,CORINA LOPEZ,CORINA LOPEZ
SanLeandro_11062012_CountyCouncilDistrict2.csv,"['IRV', 'Condorcet', 'Plurality']",0.876494967,3,URSULA REED,URSULA REED,URSULA REED,,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE,MORGAN MACK-ROSE
SanLeandro_11062018_CountyCouncilDistrict1.csv,[],0.703044666,3,DEBORAH COX,DEBORAH COX,DEBORAH COX,,DEBORAH COX,DEBORAH COX,DEBORAH COX,DEBORAH COX,DEBORAH COX
SantaFe_03062018_CityCouncilDistrict2.csv,['Approval'],0.846436561,3,Carol Romero-Wirth,Carol Romero-Wirth,Carol Romero-Wirth,,Carol Romero-Wirth,Carol Romero-Wirth,Nate Downey,Carol Romero-Wirth,Carol Romero-Wirth
SantaFe_03062018_CityCouncilDistrict4.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.68325515,3,JoAnne Vigil Coppler,JoAnne Vigil Coppler,JoAnne Vigil Coppler,,Eric John Holmes,Eric John Holmes,Eric John Holmes,JoAnne Vigil Coppler,Eric John Holmes
Springville_11022021_CityCouncil2yr.csv,[],0.882741536,3,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN,CHRIS SORENSEN
Springville_11022021_Mayor.csv,[],0.709803922,3,MATT PACKARD,MATT PACKARD,MATT PACKARD,,MATT PACKARD,MATT PACKARD,MATT PACKARD,MATT PACKARD,MATT PACKARD
StLouisPark_11022021_CityCouncilWard3.csv,[],0.886651752,3,Sue Budd,Sue Budd,Sue Budd,,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd
TakomaPark_11082022_CityCouncilWard1.csv,[],0.754966887,3,Shana Fulcher,Shana Fulcher,Shana Fulcher,,Shana Fulcher,Shana Fulcher,Shana Fulcher,Shana Fulcher,Shana Fulcher
TakomaPark_11082022_CityCouncilWard5.csv,"['IRV', 'Condorcet', 'Approval']",0.800821355,3,Cara Honzak,Cara Honzak,Cara Honzak,,A. J. Campbell,Cara Honzak,A. J. Campbell,Cara Honzak,A. J. Campbell
Vineyard_11022021_Mayor.csv,[],0.793754066,3,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER,,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER,JULIE FULLMER
WoodlandHills_11022021_Mayor.csv,"['IRV', 'Condorcet', 'Approval']",0.832061069,3,BRENT WINDER,BRENT WINDER,BRENT WINDER,,BENJAMIN J HILLYARD,BRENT WINDER,BENJAMIN J HILLYARD,BRENT WINDER,BENJAMIN J HILLYARD
Alaska_11082022_GovernorLieutenantGovernor.csv,[],0.814704881,4,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom
Alaska_11082022_HouseDistrict20.csv,[],0.800398804,4,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
Alaska_11082022_HouseDistrict28.csv,[],0.670080591,4,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M."
Alaska_11082022_HouseDistrict35.csv,[],0.829340115,4,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
Alaska_11082022_USRepresentative.csv,"['IRV', 'Condorcet']",0.753279641,4,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",,"Begich, Nick","Peltola, Mary S.","Begich, Nick","Begich, Nick","Palin, Sarah"
Alaska_11082022_USSenator.csv,[],0.831821701,4,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa"
Berkeley_11022010_CityCouncilDistrict1.csv,[],0.787372494,4,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO
Berkeley_11022010_CityCouncilDistrict4.csv,[],0.665615142,4,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN
