filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance
Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,NO,LOCAL,B,4,5,0.585704291,0.605293843,82.74253731,73.60657649,68.55760261,63.16464552,,0.50695825,4.251131146,0.488940018,0.999864865,0.854602342,0.456456456
Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,NO,LOCAL,B,5,5,0.428322725,0.380991241,75.90446657,75.38218813,68.32598879,66.16070943,65.51874218,0.713971263,3.575929176,0.697621408,0.999841043,0.610390309,0.884884885
Oakland_11042014_SchoolDirectorDistrict2.csv,NO,LOCAL,B,2,3,1,1,89.06436742,56.67577258,,,,0.919683909,3.70032799,0.919683909,0.99987308,,
Oakland_11042014_SchoolDirectorDistrict4.csv,NO,LOCAL,B,4,3,0.678810409,0.709789343,70.83643123,67.60842627,56.78438662,31.57372986,,0.619158565,2.034105236,0.619158565,0.999881292,0.803079289,0.54954955
Oakland_11042014_SchoolDirectorDistrict6.csv,NO,LOCAL,B,2,3,1,1,81.05688709,70.55539513,,,,0.852013694,2.56823308,0.852013694,0.99986426,0.841961042,0.248248248
Oakland_11062012_SchoolDirectorDistrict1.csv,NO,LOCAL,B,2,3,1,1,86.78048967,56.95733547,,,,0.929048396,,,,,
Oakland_11062012_SchoolDirectorDistrict3.csv,NO,LOCAL,B,3,3,0.813959132,0.760374703,79.34766782,70.09173421,67.05334175,,,0.625446589,2.735469552,0.616421037,0.999908809,0.736832532,0.356356356
Oakland_11062012_SchoolDirectorDistrict5.csv,NO,LOCAL,B,2,3,1,1,78.36534086,70.12833349,,,,0.853576222,2.541722203,0.853576222,0.999878758,0.918491978,0.248248248
Oakland_11062012_SchoolDirectorDistrict7.csv,NO,LOCAL,B,2,3,1,1,79.57304013,71.16949879,,,,0.854194348,,,,,
Oakland_11062018_SchoolDirectorDistrict4.csv,NO,LOCAL,B,2,3,1,1,74.66347713,66.58692832,,,,0.866366335,,,,,
Oakland_11062018_SchoolDirectorDistrict6.csv,NO,LOCAL,B,2,3,1,1,98.83073889,1.817285342,,,,0.989539478,,,,,
Oakland_11082016_SchoolDirectorDistrict1.csv,NO,LOCAL,B,2,3,1,1,84.3668758,51.66210267,,,,0.945827137,,,,,
Oakland_11082016_SchoolDirectorDistrict3.csv,NO,LOCAL,B,5,3,0.726066562,0.674603529,69.31427295,68.78713424,64.20370784,22.56868439,0.236765691,0.145921211,3.894013549,0.145921211,0.999907193,0.448094189,0.428428428
Oakland_11082016_SchoolDirectorDistrict5.csv,NO,LOCAL,B,4,3,0.777935996,0.760173874,67.87828824,65.48752155,42.14194709,36.65592445,,0.354408117,3.035842492,0.354408117,0.999858697,0.650913387,0.324324324
Oakland_11082016_SchoolDirectorDistrict7.csv,NO,LOCAL,B,2,3,1,1,83.35563286,66.53732941,,,,0.837518986,,,,,
