ballotID,ward,rank1,rank2,rank3,rank4
104,500,Talisha Searcy,Talisha Searcy,Talisha Searcy,Talisha Searcy
105,500,Jarrett Smith,skipped,skipped,skipped
106,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
107,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
108,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
109,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
110,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
111,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
112,200,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
113,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
114,300,Talisha Searcy,Seth Grimes,Seth Grimes,Talisha Searcy
115,400,Talisha Searcy,skipped,skipped,skipped
116,500,Talisha Searcy,Jarrett Smith,Seth Grimes,WRITE-IN3
117,100,Talisha Searcy,Jarrett Smith,skipped,skipped
118,400,Talisha Searcy,skipped,skipped,skipped
119,300,Seth Grimes,Talisha Searcy,skipped,skipped
120,200,Talisha Searcy,Seth Grimes,skipped,skipped
121,600,Talisha Searcy,Talisha Searcy,skipped,skipped
122,600,Talisha Searcy,skipped,skipped,skipped
123,600,Talisha Searcy,Seth Grimes,skipped,skipped
124,200,Talisha Searcy,Seth Grimes,WRITE-IN5,Jarrett Smith
125,600,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
126,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
127,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
128,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
129,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
130,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
131,200,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
132,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
133,200,Talisha Searcy,skipped,skipped,skipped
134,300,Jarrett Smith,WRITE-IN6,skipped,skipped
135,200,Talisha Searcy,skipped,skipped,skipped
136,400,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
137,400,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
138,400,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
139,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
140,400,Talisha Searcy,skipped,skipped,skipped
141,100,Jarrett Smith,skipped,skipped,skipped
142,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
143,100,Talisha Searcy,skipped,skipped,skipped
144,400,Talisha Searcy,Seth Grimes,Jarrett Smith,WRITE-IN7
145,200,WRITE-IN8,Seth Grimes,Jarrett Smith,Talisha Searcy
146,100,Talisha Searcy,Seth Grimes,skipped,skipped
147,400,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
148,600,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
149,300,Jarrett Smith,Talisha Searcy,skipped,skipped
150,500,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
151,400,Talisha Searcy,Seth Grimes,Jarrett Smith,WRITE-IN9
152,400,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
153,200,Talisha Searcy,skipped,skipped,skipped
154,300,Jarrett Smith,Seth Grimes,skipped,skipped
155,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
156,500,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
157,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
158,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
159,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
160,100,Seth Grimes,Jarrett Smith,skipped,skipped
161,300,Talisha Searcy,Jarrett Smith,skipped,skipped
162,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
163,100,Talisha Searcy,Seth Grimes,skipped,skipped
164,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
165,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
166,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
167,500,Seth Grimes,Jarrett Smith,skipped,skipped
168,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
