index,rank1,rank2,rank3,rank4
1,undervote,undervote,undervote,undervote
2,undervote,undervote,undervote,undervote
3,undervote,undervote,undervote,undervote
4,undervote,undervote,undervote,undervote
5,undervote,undervote,undervote,undervote
6,undervote,undervote,undervote,undervote
7,undervote,undervote,undervote,undervote
8,undervote,undervote,undervote,undervote
9,undervote,undervote,undervote,undervote
10,undervote,undervote,undervote,undervote
11,undervote,undervote,undervote,undervote
12,undervote,undervote,undervote,undervote
13,undervote,undervote,undervote,undervote
14,undervote,undervote,undervote,undervote
15,undervote,undervote,undervote,undervote
16,undervote,undervote,undervote,undervote
17,undervote,undervote,undervote,undervote
18,undervote,undervote,undervote,undervote
19,undervote,undervote,undervote,undervote
20,undervote,undervote,undervote,undervote
21,undervote,undervote,undervote,undervote
22,undervote,undervote,undervote,undervote
23,undervote,undervote,undervote,undervote
24,undervote,undervote,undervote,undervote
25,undervote,undervote,undervote,undervote
26,undervote,undervote,undervote,undervote
27,undervote,undervote,undervote,undervote
28,undervote,undervote,undervote,undervote
29,undervote,undervote,undervote,undervote
30,undervote,undervote,undervote,undervote
31,undervote,undervote,undervote,undervote
32,undervote,undervote,undervote,undervote
33,undervote,undervote,undervote,undervote
34,undervote,undervote,undervote,undervote
35,undervote,undervote,undervote,undervote
36,undervote,undervote,undervote,undervote
37,undervote,undervote,undervote,undervote
38,undervote,undervote,undervote,undervote
39,undervote,undervote,undervote,undervote
40,undervote,undervote,undervote,undervote
41,undervote,undervote,undervote,undervote
42,undervote,undervote,undervote,undervote
43,undervote,undervote,undervote,undervote
44,undervote,undervote,undervote,undervote
45,undervote,undervote,undervote,undervote
46,undervote,undervote,undervote,undervote
47,undervote,undervote,undervote,undervote
48,undervote,undervote,undervote,undervote
49,undervote,undervote,undervote,undervote
50,undervote,undervote,undervote,undervote
51,undervote,undervote,undervote,undervote
52,undervote,undervote,undervote,undervote
53,undervote,undervote,undervote,undervote
54,undervote,undervote,undervote,undervote
55,undervote,ERIC K. BERZINS,undervote,undervote
56,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
57,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
58,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
59,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
60,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote
61,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE
62,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE
63,undervote,NICOLE M. LACHAPELLE,undervote,undervote
64,undervote,NICOLE M. LACHAPELLE,ERIC K. BERZINS,KEITH M. ROUTHIER
65,undervote,KEITH M. ROUTHIER,ERIC K. BERZINS,undervote
66,undervote,KEITH M. ROUTHIER,ERIC K. BERZINS,NICOLE M. LACHAPELLE
67,ERIC K. BERZINS,undervote,undervote,undervote
68,ERIC K. BERZINS,undervote,undervote,undervote
69,ERIC K. BERZINS,undervote,undervote,undervote
70,ERIC K. BERZINS,undervote,undervote,undervote
71,ERIC K. BERZINS,undervote,undervote,undervote
72,ERIC K. BERZINS,undervote,undervote,undervote
73,ERIC K. BERZINS,undervote,undervote,undervote
74,ERIC K. BERZINS,undervote,undervote,undervote
75,ERIC K. BERZINS,undervote,undervote,undervote
76,ERIC K. BERZINS,undervote,undervote,undervote
77,ERIC K. BERZINS,undervote,undervote,undervote
78,ERIC K. BERZINS,undervote,undervote,undervote
79,ERIC K. BERZINS,undervote,undervote,undervote
80,ERIC K. BERZINS,undervote,undervote,undervote
81,ERIC K. BERZINS,undervote,undervote,undervote
82,ERIC K. BERZINS,undervote,undervote,undervote
83,ERIC K. BERZINS,undervote,undervote,undervote
84,ERIC K. BERZINS,undervote,undervote,undervote
85,ERIC K. BERZINS,undervote,undervote,undervote
86,ERIC K. BERZINS,undervote,undervote,undervote
87,ERIC K. BERZINS,undervote,undervote,undervote
88,ERIC K. BERZINS,undervote,undervote,undervote
89,ERIC K. BERZINS,undervote,undervote,undervote
90,ERIC K. BERZINS,undervote,undervote,undervote
91,ERIC K. BERZINS,undervote,undervote,undervote
92,ERIC K. BERZINS,undervote,undervote,undervote
93,ERIC K. BERZINS,undervote,undervote,undervote
94,ERIC K. BERZINS,undervote,undervote,undervote
95,ERIC K. BERZINS,undervote,undervote,undervote
96,ERIC K. BERZINS,undervote,undervote,undervote
97,ERIC K. BERZINS,undervote,undervote,undervote
98,ERIC K. BERZINS,undervote,undervote,undervote
99,ERIC K. BERZINS,undervote,undervote,undervote
100,ERIC K. BERZINS,undervote,undervote,undervote
101,ERIC K. BERZINS,undervote,undervote,undervote
102,ERIC K. BERZINS,undervote,undervote,undervote
103,ERIC K. BERZINS,undervote,undervote,undervote
104,ERIC K. BERZINS,undervote,undervote,undervote
105,ERIC K. BERZINS,undervote,undervote,undervote
106,ERIC K. BERZINS,undervote,undervote,undervote
107,ERIC K. BERZINS,undervote,undervote,undervote
108,ERIC K. BERZINS,undervote,undervote,undervote
109,ERIC K. BERZINS,undervote,undervote,undervote
110,ERIC K. BERZINS,undervote,undervote,undervote
111,ERIC K. BERZINS,undervote,undervote,undervote
112,ERIC K. BERZINS,undervote,undervote,undervote
113,ERIC K. BERZINS,undervote,undervote,undervote
114,ERIC K. BERZINS,undervote,undervote,undervote
115,ERIC K. BERZINS,undervote,undervote,undervote
116,ERIC K. BERZINS,undervote,undervote,undervote
117,ERIC K. BERZINS,undervote,undervote,undervote
118,ERIC K. BERZINS,undervote,undervote,undervote
119,ERIC K. BERZINS,undervote,undervote,undervote
120,ERIC K. BERZINS,undervote,undervote,undervote
121,ERIC K. BERZINS,undervote,undervote,undervote
122,ERIC K. BERZINS,undervote,undervote,undervote
123,ERIC K. BERZINS,undervote,undervote,undervote
124,ERIC K. BERZINS,undervote,undervote,undervote
125,ERIC K. BERZINS,undervote,undervote,undervote
126,ERIC K. BERZINS,undervote,undervote,undervote
127,ERIC K. BERZINS,undervote,undervote,undervote
128,ERIC K. BERZINS,undervote,undervote,undervote
129,ERIC K. BERZINS,undervote,undervote,undervote
130,ERIC K. BERZINS,undervote,undervote,undervote
131,ERIC K. BERZINS,undervote,undervote,undervote
132,ERIC K. BERZINS,undervote,undervote,undervote
133,ERIC K. BERZINS,undervote,undervote,undervote
134,ERIC K. BERZINS,undervote,undervote,undervote
135,ERIC K. BERZINS,undervote,undervote,undervote
136,ERIC K. BERZINS,undervote,undervote,undervote
137,ERIC K. BERZINS,undervote,undervote,undervote
138,ERIC K. BERZINS,undervote,undervote,undervote
139,ERIC K. BERZINS,undervote,undervote,undervote
140,ERIC K. BERZINS,undervote,undervote,undervote
141,ERIC K. BERZINS,undervote,undervote,undervote
142,ERIC K. BERZINS,undervote,undervote,undervote
143,ERIC K. BERZINS,undervote,undervote,undervote
144,ERIC K. BERZINS,undervote,undervote,undervote
145,ERIC K. BERZINS,undervote,undervote,undervote
146,ERIC K. BERZINS,undervote,undervote,undervote
147,ERIC K. BERZINS,undervote,undervote,undervote
148,ERIC K. BERZINS,undervote,undervote,undervote
149,ERIC K. BERZINS,undervote,undervote,undervote
150,ERIC K. BERZINS,undervote,undervote,undervote
151,ERIC K. BERZINS,undervote,undervote,undervote
152,ERIC K. BERZINS,undervote,undervote,undervote
153,ERIC K. BERZINS,undervote,undervote,undervote
154,ERIC K. BERZINS,undervote,undervote,undervote
155,ERIC K. BERZINS,undervote,undervote,undervote
156,ERIC K. BERZINS,undervote,undervote,undervote
157,ERIC K. BERZINS,undervote,undervote,undervote
158,ERIC K. BERZINS,undervote,undervote,undervote
159,ERIC K. BERZINS,undervote,undervote,undervote
160,ERIC K. BERZINS,undervote,undervote,undervote
161,ERIC K. BERZINS,undervote,undervote,undervote
162,ERIC K. BERZINS,undervote,undervote,undervote
163,ERIC K. BERZINS,undervote,NICOLE M. LACHAPELLE,undervote
164,ERIC K. BERZINS,undervote,NICOLE M. LACHAPELLE,undervote
165,ERIC K. BERZINS,undervote,NICOLE M. LACHAPELLE,undervote
166,ERIC K. BERZINS,undervote,NICOLE M. LACHAPELLE,undervote
167,ERIC K. BERZINS,undervote,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE
168,ERIC K. BERZINS,AVERY LAVALLEY,undervote,undervote
169,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
170,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
171,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
172,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
173,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
174,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
175,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
176,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
177,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
178,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
179,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
180,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
181,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
182,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
183,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,undervote
184,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote,KEITH M. ROUTHIER
185,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
186,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
187,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
188,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
189,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
190,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
191,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
192,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
193,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
194,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
195,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
196,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
197,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
198,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
199,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
200,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
201,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
202,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
203,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
204,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
205,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
206,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
207,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
208,ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,undervote
209,ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,undervote
210,ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,KEITH M. ROUTHIER
211,ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,KEITH M. ROUTHIER
212,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
213,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
214,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
215,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
216,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
217,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
218,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
219,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
220,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
221,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
222,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
223,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
224,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
225,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
226,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
227,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
228,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
229,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
230,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
231,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
232,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
233,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
234,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
235,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
236,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
237,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
238,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
239,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
240,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
241,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
242,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
243,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
244,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
245,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
246,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
247,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
248,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
249,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
250,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
251,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
252,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
253,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
254,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
255,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
256,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
257,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
258,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
259,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
260,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
261,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
262,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
263,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
264,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
265,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
266,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
267,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
268,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
269,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
270,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
271,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
272,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
273,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
274,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
275,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
276,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
277,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
278,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
279,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,undervote
280,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
281,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
282,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
283,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
284,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
285,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
286,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote,NICOLE M. LACHAPELLE
287,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
288,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
289,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
290,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
291,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
292,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
293,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
294,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
295,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
296,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
297,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
298,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
299,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
300,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
301,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
302,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
303,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
304,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
305,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
306,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
307,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
308,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
309,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
310,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
311,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
312,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
313,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
314,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
315,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
316,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
317,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
318,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
319,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
320,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
321,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
322,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
323,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
324,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
325,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
326,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
327,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
328,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
329,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
330,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
331,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
332,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
333,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
334,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
335,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
336,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
337,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
338,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
339,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
340,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
341,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
342,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
343,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
344,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
345,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
346,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
347,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
348,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
349,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
350,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
351,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
352,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
353,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
354,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
355,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
356,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
357,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
358,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
359,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
360,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
361,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
362,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
363,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
364,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
365,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
366,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
367,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
368,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
369,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
370,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
371,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
372,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,undervote
373,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,TYLER MARTIN
374,ERIC K. BERZINS,KEITH M. ROUTHIER,JOY WINNIE,NICOLE M. LACHAPELLE
375,ERIC K. BERZINS,KEITH M. ROUTHIER,NANCY DIROCCO,undervote
376,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
377,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
378,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
379,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
380,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
381,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
382,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,undervote
383,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
384,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
385,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
386,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
387,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
388,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
389,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
390,ERIC K. BERZINS,KEITH M. ROUTHIER,DONALD W. TORREY,NICOLE M. LACHAPELLE
391,ERIC K. BERZINS,KEITH M. ROUTHIER,BARBARA LABOMBARD,undervote
