,0,1,2
54734,"Golden, Jared Forrest",,
36058,"Golden, Jared Forrest","Bond, Tiffany","Poliquin, Bruce"
98263,"Poliquin, Bruce",,
53643,"Golden, Jared Forrest","Bond, Tiffany",
6541,"Bond, Tiffany","Golden, Jared Forrest","Poliquin, Bruce"
3140,"Golden, Jared Forrest","Poliquin, Bruce",
8581,"Poliquin, Bruce","Golden, Jared Forrest","Bond, Tiffany"
20180,"Poliquin, Bruce","Bond, Tiffany","Golden, Jared Forrest"
11416,"Poliquin, Bruce","Bond, Tiffany",
5821,"Golden, Jared Forrest","Poliquin, Bruce","Bond, Tiffany"
5734,,,
4989,"Bond, Tiffany",,
5527,"Bond, Tiffany","Golden, Jared Forrest",
3261,"Poliquin, Bruce","Golden, Jared Forrest",
3530,"Bond, Tiffany","Poliquin, Bruce","Golden, Jared Forrest"
1360,"Bond, Tiffany","Poliquin, Bruce",
