type,candidates,partisan,level,mean gamma bf,std gamma bf,mean gamma mds,std gamma mds,mean bimodality,std bimodality,total number of elections
R,5,DP,1.0,0.620421264,0.030001408178629153,0.6271917955,0.01805558321457819,0.5576924894999999,0.1518664723577015,4
R,5,RP,1.0,0.676007005,,0.7117338,,0.24336581,,1
R,6,0,1.0,0.614678202,0.09598801492572509,0.5900642098000001,0.14199014574518576,0.3512760044,0.1135496760372376,5
R,6,DP,1.0,0.58335062525,0.03343994180851309,0.58553130925,0.046262120171686315,0.395273622625,0.14540017145482861,8
R,7,0,1.0,0.5482673478333333,0.1775695005991442,0.49475843399999997,0.16250822587997374,0.4013582078333333,0.22953933308022553,6
R,7,DP,1.0,0.5199728094,0.0625404345428109,0.546630561,0.024168522357715303,0.45924426900000004,0.13873718940682447,5
R,8,0,1.0,,,0.731010766,,0.612688341,,1
R,8,DP,1.0,,,0.5238058800000001,0.05467478310866261,0.35780209928571427,0.20027916731000753,7
R,9,DP,1.0,,,0.4133965513333333,0.02288612227881786,0.4163196843333334,0.15081406827222738,3
R,11,DP,1.0,,,0.447073029,,0.341024843,,1
R,12,0,1.0,,,0.685729072,,0.222105143,,1
R,12,DP,1.0,,,0.369448177,0.06504078764854443,0.3686131665,0.16419268007185217,2
R,13,DP,1.0,,,0.326570349,,0.458370038,,1
R,15,DP,1.0,,,0.315592748,,0.215191072,,1
S,2,1,2.0,1.0,0.0,1.0,0.0,0.9188048253,0.024667062920354078,10
S,3,1,2.0,0.9191680062500001,0.03551791506792133,0.875170506625,0.05588202019136205,0.7492181455,0.1192142467144414,8
S,4,1,3.0,0.831821701,,0.82133641,,0.87220012,,1
