Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
48,48,Alaska_11082022_SenateDistrictF.csv,1,2.0,S,2,3,1.0,1.0,65.97008666,54.94828068,,,,0.932574119034412
49,49,Alaska_11082022_SenateDistrictG.csv,1,2.0,S,2,3,1.0,1.0,65.19371541,57.99857168,,,,0.9451627531073162
50,50,Alaska_11082022_SenateDistrictH.csv,1,2.0,S,2,3,1.0,1.0,61.3540569,61.24209694,,,,0.9419365558730386
51,51,Alaska_11082022_SenateDistrictI.csv,1,2.0,S,2,3,1.0,1.0,76.39296188,51.79952013,,,,0.908359657636698
52,52,Alaska_11082022_SenateDistrictJ.csv,1,2.0,S,3,4,0.935144509,0.924277457,69.2716763,60.56647399,52.65895954,,,0.759001452350439
53,53,Alaska_11082022_SenateDistrictK.csv,1,2.0,S,2,3,1.0,1.0,65.8525303,57.87769451,,,,0.9137757346831415
54,54,Alaska_11082022_SenateDistrictL.csv,1,2.0,S,2,3,1.0,1.0,72.73100897,66.42920748,,,,0.9015709006613164
55,55,Alaska_11082022_SenateDistrictM.csv,1,2.0,S,2,3,1.0,1.0,82.77650546,35.61228614,,,,0.9464982535994548
56,56,Alaska_11082022_SenateDistrictN.csv,1,2.0,S,3,4,0.85008223,0.826452004,74.08465334,64.06993854,60.63360166,,,0.6119041071637094
57,57,Alaska_11082022_SenateDistrictO.csv,1,2.0,S,2,3,1.0,1.0,73.15956323,68.14371257,,,,0.8725333853536298
58,58,Alaska_11082022_SenateDistrictP.csv,1,2.0,S,3,4,0.904546537,0.805522495,66.35324923,63.94905975,46.79838134,,,0.9262702566726384
59,59,Alaska_11082022_SenateDistrictQ.csv,1,2.0,S,3,4,0.898730281,0.859022701,75.5367449,48.48018469,32.41246633,,,0.9202425649742244
60,60,Alaska_11082022_SenateDistrictR.csv,1,2.0,S,3,4,0.920295304,0.865541049,75.78098298,54.04333857,39.74297628,,,0.7370185848235307
61,61,Alaska_11082022_SenateDistrictS.csv,1,2.0,S,2,3,1.0,1.0,79.97395457,62.58139198,,,,0.8948501670987162
62,62,Alaska_11082022_USRepresentative.csv,1,3.0,R,4,5,0.825703481,0.757514115,64.61950122,59.18676972,57.31220374,35.85074424,,0.8080161128562978
63,63,Alaska_11082022_USSenator.csv,1,3.0,S,4,5,0.831821701,0.82133641,65.75829564,60.02952427,44.63515893,41.55256687,,0.8722001198455532
64,64,Albany_11082022_BoardofEducation.csv,,,,5,5,0.62540366,0.64262648,87.80562817,84.99154237,79.97847147,56.6815316,1.968322313,0.5781854951456491
65,65,Albany_11082022_CityCouncil.csv,,,,6,5,0.343728344,0.304781705,88.46846847,82.86902287,81.82952183,80.31878032,60.45738046,0.5626475041830635
66,66,Albany_11082022_FAKECityCouncil.csv,,,,5,5,0.599327543,0.43905856,83.76295881,82.71224433,81.18520594,61.1095545,1.667133651,0.3674780322002566
